id,viewCount,likeCount,favoriteCount,commentCount
mpdZZhRBnOg,125250,2934,0,150
izyBoVzC0Wk,530048,18632,0,1194
PMLRBZravU8,33820,826,0,57
ICUoG54pIW0,109872,2595,0,120
Vz0wwYOV3PM,289005,11081,0,1238
E4hevWAjUZI,82268,2211,0,146
EzaF16C8WPw,35460,589,0,40
USdiumz1ZFM,645833,21058,0,1006
6hpERoSmq74,86338,2157,0,75
iYAnixLQno4,217644,4089,0,144
tarsyQZCMUs,365719,9814,0,418
ZT8nSsHrUf0,147906,2969,0,126
5de8UjLRZBI,127851,2737,0,231
ZJe0JcKLWaE,150707,3249,0,204
jSK5fJpqs5I,115058,2581,0,132
Id-t3IVNREo,117539,3003,0,181
hjKXtAbYbSQ,93452,2476,0,121
gQ6maLl5pQA,717496,17858,0,580
FlZuFh0KUvc,10005344,91083,0,2244
L5i4stj4M30,401767,17384,0,565
L1l69tA5oCs,62845,1552,0,69
NjwA9i_o3pU,606518,15369,0,726
p3wLRo9zE5w,222311,8053,0,605
fv3kgm18Q7I,35236,1466,0,100
iX_ubL2-sfs,1183627,40497,0,3165
FrXXLcx4dCw,143616,4116,0,201
cnrSu6sH-Ug,1363999,32529,0,1591
qX9WE9-Pt2U,84123,1812,0,154
vvTXMeexv5Y,151079,4403,0,194
Xg-vPVOyceM,38188,914,0,33
M9UMzNFJxhY,2324379,88181,0,9236
zxfFYV4Lfek,670892,20488,0,763
SufUZu4h_m8,478572,14444,0,1019
sP192eOTFpU,63630,1232,0,73
1D-QXrC3U0I,642712,19834,0,611
jHdCIBDsniI,83138,1710,0,101
e04Ar0KQjZY,78879,1395,0,62
mLeFgJ9JJHY,90028,2269,0,141
S1qpVSz3pP4,282669,7140,0,258
maDO3z41wXA,139450,4527,0,284
H-cCTeVD3MM,55373,1764,0,76
7OfULrhVASI,136445,5054,0,298
XoRFGTt9B20,83164,2108,0,81
fvqhf7X7vLA,40366,941,0,78
SB6jTKPOjMY,307103,7199,0,244
G3QgBxK5Ev8,53759,1132,0,131
G5sOTIEyjUo,19158,370,0,26
Htmfg1BMXTA,60729,1678,0,131
BThnnxdLAqs,46382,1303,0,83
u5puSWxPNyA,593226,22178,0,691
Dy4pEFFbFsA,8073748,134845,0,5826
2arc30068Wk,338848,10610,0,522
XfJkMTVWu3U,2773769,70927,0,2730
2g3zEtCnq-0,14801,133,0,11
8ta8ftzNvek,587574,22843,0,934
C2BxIBlJUAE,119867,2917,0,183
srn5Cd9yR3Y,2682220,52233,0,2518
IT9sB1e61BA,664020,21555,0,872
ZUYJ8_tBSSQ,784810,23815,0,792
KGczofguB0c,14426245,342187,0,8737
bJUUnXZVIfY,1973271,46882,0,1704
8YTAnJnC0mc,15048,187,0,28
x-pRNfpbsxU,60948,2061,0,89
tHKvLteaaB0,10181,58,0,6
ThDoFjsGijw,318534,15961,0,496
-MefNjyFer8,193373,3129,0,327
SrYSpLGuKwo,338889,7937,0,317
eTacK5_H660,12456,113,0,14
5n-GC2wU4is,405510,20428,0,434
K6NR9DYiEqc,113891,2421,0,135
GatQYthTUKs,85846,1572,0,68
sJT5nBmKaZc,148158,4409,0,302
iKw3DXh-MlI,9323,106,0,11
pnAr3L-XZN4,39109,1572,0,14
qpeVQnwyxEc,133307,6703,0,232
yXI7NP7TDCw,4803183,100994,0,3588
l4c4PUNkawc,691697,7195,0,343
Hq4SuewheZQ,37244,529,0,25
SKJ5JyuP7WY,2327194,32724,0,1678
